#{"t_start": 1744338707.8416657, "env_id": "aisd_examples/CreateRedBall-v0"}
r,l,t
-1.98125,100,27.365031
-32.9,100,51.767691
-40.35625,100,76.217207
-20.315625,100,114.149609
-39.99375,100,154.400756
-51.859375,100,194.965923
-59.1375,100,238.01058
-40.503125,100,276.522455
-35.90625,100,320.780734
-37.715625,100,363.215275
-37.009375,100,393.170643
-61.16875,100,418.35424
-31.546875,100,443.35158
-41.553125,100,468.664103
-28.825,100,493.493371
-5.209375,100,519.329879
0.0,100,543.912872
0.0,100,572.164031
-30.559375,100,614.73416
-36.240625,100,656.884506
-48.990625,100,688.014581
-31.228125,100,712.631901
0.0,100,737.29682
-25.671875,100,766.927695
-19.409375,100,790.973383
0.0,100,815.71802
0.0,100,840.278532
-17.23125,100,881.645005
-37.25,100,923.763592
-35.4375,100,966.34086
-31.01875,100,995.665469
0.0,100,1020.556093
0.0,100,1044.746038
0.0,100,1070.567912
0.0,100,1094.843955
0.0,100,1119.972616
0.0,100,1144.435671
0.0,100,1179.563337
-45.23125,100,1222.087405
-45.0875,100,1265.352986
-24.146875,100,1328.551581
-23.925,100,1359.757653
-3.771875,100,1383.745718
0.0,100,1407.95033
0.0,100,1432.055806
-24.65,100,1456.438433
-39.209375,100,1481.741153
-38.621875,100,1507.199784
-44.696875,100,1531.485281
-48.575,100,1556.416921
-48.696875,100,1581.411317
-12.421875,100,1605.958456
0.0,100,1629.778143
0.0,100,1654.091141
0.0,100,1677.808011
-12.9875,100,1701.21554
-52.234375,100,1726.185294
-38.55,100,1750.601333
-38.471875,100,1774.701662
-51.45625,100,1799.349015
-7.8375,100,1823.525549
0.0,100,1847.815248
0.0,100,1871.349951
0.0,100,1895.562156
0.0,100,1920.082911
-4.553125,100,1944.81392
-39.371875,100,1968.998024
-38.821875,100,1993.710805
-44.009375,100,2018.726801
-43.528125,100,2043.100194
-28.10625,100,2067.426073
-21.64375,100,2092.024451
-41.99375,100,2124.172417
-31.01875,100,2166.708632
-19.671875,100,2208.598411
-34.71875,100,2233.367536
-47.83125,100,2257.749177
-37.6625,100,2281.982379
-38.2875,100,2306.576419
-37.8625,100,2331.82847
-51.725,100,2367.560661
0.0,100,2390.558724
0.0,100,2415.086885
0.0,100,2439.335005
0.0,100,2464.221285
0.0,100,2488.464998
-14.546875,100,2524.794352
0.0,100,2557.421524
0.0,100,2581.469749
0.0,100,2606.071447
0.0,100,2629.672006
0.0,100,2653.566848
0.0,100,2677.444731
0.0,100,2702.19916
0.0,100,2726.181283
0.0,100,2750.858571
-11.215625,100,2784.990649
0.0,100,2823.021442
0.0,100,2847.539555
0.0,100,2872.370505
0.0,100,2897.023921
0.0,100,2921.882167
0.0,100,2946.319397
0.0,100,2970.632761
0.0,100,2994.955005
-10.3625,100,3024.309671
-0.83125,100,3064.700468
0.0,100,3088.616563
0.0,100,3112.673368
0.0,100,3136.857928
0.0,100,3160.941654
0.0,100,3185.232337
0.0,100,3209.099455
0.0,100,3233.876846
0.0,100,3258.238738
0.0,100,3283.180501
0.0,100,3308.580641
-3.890625,100,3333.587779
-9.471875,100,3374.55586
0.0,100,3403.05592
0.0,100,3426.851387
0.0,100,3459.650327
0.0,100,3486.180732
0.0,100,3510.204843
0.0,100,3545.405547
-0.76875,100,3580.75873
0.0,100,3604.980284
0.0,100,3629.090859
0.0,100,3652.925621
-23.4125,100,3680.289914
-26.2625,100,3711.112832
-55.821875,100,3736.624371
-43.546875,100,3761.441694
-17.2125,100,3787.009724
-8.3625,100,3811.92285
-21.78125,100,3840.339914
-16.828125,100,3883.102341
0.0,100,3915.829129
0.0,100,3939.962672
0.0,100,3963.805839
0.0,100,3986.928628
0.0,100,4010.738684
0.0,100,4034.998475
0.0,100,4059.168988
0.0,100,4083.27523
0.0,100,4108.12358
0.0,100,4134.982041
0.0,100,4159.622032
-18.84375,100,4184.299031
-26.13125,100,4225.655092
0.0,100,4267.821017
-26.01875,100,4308.437854
-12.990625,100,4332.703258
0.0,100,4356.82745
0.0,100,4380.993581
0.0,100,4405.271188
-17.65625,100,4429.994895
-18.928125,100,4472.815038
-0.56875,100,4509.312898
0.0,100,4533.523947
0.0,100,4557.836203
0.0,100,4596.172416
0.0,100,4620.076209
0.0,100,4646.945863
0.0,100,4682.262661
-59.803125,100,4724.866234
-69.028125,100,4768.603793
-65.70625,100,4810.20388
-66.446875,100,4852.445232
-68.678125,100,4893.934076
-47.959375,100,4934.656706
-32.1,100,4967.646751
-41.096875,100,4997.285647
-37.36875,100,5033.11357
-30.68125,100,5075.752967
-68.434375,100,5118.862978
-66.8,100,5161.969036
-69.253125,100,5204.131174
-64.421875,100,5245.045069
-68.7125,100,5286.553225
-18.359375,100,5327.291398
-35.253125,100,5369.265712
-9.778125,100,5394.490623
-35.19375,100,5419.606136
-2.509375,100,5444.000519
-10.609375,100,5474.220039
-67.578125,100,5515.850862
-70.746875,100,5556.920123
-66.84375,100,5600.364851
-68.25,100,5641.886081
-11.24375,100,5679.94844
-0.54375,100,5714.203736
-1.646875,100,5755.394492
-11.990625,100,5796.265046
0.0,100,5837.904593
-59.590625,100,5879.630206
-66.759375,100,5921.145658
-66.0875,100,5963.132176
-68.571875,100,6006.067456
-67.103125,100,6047.822566
-41.615625,100,6090.039534
-36.6,100,6131.233266
-7.703125,100,6183.428266
